STATE,2020,2021,2022,2023,2024,2025,CHANGE
MT,0.0,0.0,0.0,0.0,0.5781793473721794,1.0,1.0
ME,0.0,0.0,0.0,0.0,0.7756015900432457,1.0,1.0
VT,0.0,0.10216152939333734,0.07785336356764928,0.0,0.9288040949278734,1.0,1.0
UT,0.0,0.29812466346189626,0.09357871029346948,0.1316839120388388,0.7933639596230642,1.0,1.0
SC,0.0,0.0,0.01545899348979105,0.010871576494100902,0.6845644300602248,1.0,1.0
RI,0.0,0.0,0.0,0.043427640215248045,0.9312619065199733,1.0,1.0
PR,0.0,0.0,0.0,0.0,0.6498273015255918,1.0,1.0
OR,0.0,0.0,0.0,0.1747772986549806,0.8909058167689107,1.0,1.0
OK,0.0,0.0,0.0,0.0,0.7236940017526069,1.0,1.0
NV,0.0,0.002792242374034735,0.0020968501025313475,0.006894631214050452,0.7217988505360814,1.0,1.0
NJ,0.0,0.0,0.01906611394822944,0.02317974888774097,0.8404307939228814,1.0,1.0
NH,0.0,0.0,0.015161947697432324,0.034235580561817816,0.8159088293748313,1.0,1.0
NC,0.0,0.0,0.00913384886163916,0.03394664404621455,0.6206174696864128,1.0,1.0
AL,0.0,0.0,0.0,0.047939494731169395,0.8176109480348723,1.0,1.0
MS,0.0,0.050572481406790167,0.033816490335348955,0.040532509260160825,0.7564866370015614,1.0,1.0
MO,0.0,0.0,0.0,0.0012777573310846944,0.8656847232514892,1.0,1.0
WY,0.0,0.0,0.0,0.0,0.8416762428640563,1.0,1.0
CT,0.0,0.0,0.0,0.24828194609067594,0.9587118461484924,1.0,1.0
DC,0.0,0.0,0.0,0.1595744680851064,0.8661417322834646,1.0,1.0
KS,0.0,0.0,0.0,0.0,0.7367128872936712,1.0,1.0
AR,0.0,0.0,0.0,0.037818222945090574,0.8005673461733306,1.0,1.0
GA,0.0,0.01157288665780191,0.02713504718596007,0.019705175144172946,0.7589695691370483,1.0,1.0
IN,0.0,0.018924202926881902,0.010665761335654708,0.0336363482991931,0.6893173365682805,1.0,1.0
IL,0.0,0.0,0.004307932464745964,0.00282624534925221,0.8333254766262679,1.0,1.0
ID,0.0,0.04390318021097009,0.0386839312433105,0.029260441989971665,0.8336849287437021,1.0,1.0
PA,0.0,0.0,0.0,0.29407113362834725,0.795896900030192,0.9991753605033186,0.9991753605033186
FL,0.0013334949654966108,0.0006512136267454322,0.004415476078809825,0.009026387021828338,0.6710394048139267,1.0,0.9986665050345034
KY,0.0017241379310344827,0.013113586480890022,0.004240453764519856,0.0,0.6747915499410055,1.0,0.9982758620689656
MD,0.0,0.0,0.0,0.055949121031967856,0.8252683771743841,0.9953425989643828,0.9953425989643828
IA,0.0061699468915963765,0.006037776656333357,0.003944374471966952,0.0035647899088784778,0.7902124482792202,1.0,0.9938300531084037
VA,0.006409757551222829,0.004127990908248282,0.014710132469080022,0.020309559755013428,0.7553490847117615,1.0,0.9935902424487771
TX,0.013031122313053298,0.008219532666309337,0.00785353276276114,0.005542493511633593,0.8398105019918647,1.0,0.9869688776869467
NE,0.013065674588639938,0.011366166740516116,0.009254478579555978,0.0073514605602757205,0.9004426051325138,1.0,0.9869343254113601
NM,0.015875087166953197,0.01567549104321369,0.004808634570452322,0.0017998530362728104,0.7123958972655183,1.0,0.9841249128330468
CO,0.02012976916699638,0.0,0.013739468925347288,0.0351072698269758,0.7024434938128336,1.0,0.9798702308330036
MA,0.020285384688559623,0.025655838313457694,0.010473937020866282,0.08380190744516959,0.9794200470717968,1.0,0.9797146153114403
AZ,0.0,0.0,0.08435962611614138,0.07854699638165244,0.7070410222259894,0.9764573169948821,0.9764573169948821
DE,0.0,0.0,0.0,0.08374384236453201,0.7563176895306859,0.9674796747967479,0.9674796747967479
CA,0.0378306745761836,0.0009603072983354673,0.001867548970053338,0.17442173270649158,0.8971130606819991,0.9991130417922331,0.9612823672160495
NY,0.04096477735382743,0.0390891286624034,0.0384180259261949,0.07416020043447222,0.8639617393752088,1.0,0.9590352226461726
WI,0.07390067494234161,0.09925116064212508,0.07939633972058692,0.15461850231839502,0.8943898261969208,0.9992951676461058,0.9253944927037642
WV,0.09566502240265141,0.08037751078578108,0.06460705881931753,0.21667055796104412,0.6816420651396371,1.0,0.9043349775973486
LA,0.11270234286516012,0.08912698747067285,0.11313653546340717,0.19661259069103512,0.7643032801916104,1.0,0.8872976571348399
HI,0.12700280112044818,0.06431997471401188,0.0,0.06097154453053873,0.8460489556041283,1.0,0.8729971988795519
WA,0.12905806448504062,0.0962294639255867,0.10811022927470786,0.06447172506545602,0.8814421394328892,1.0,0.8709419355149594
MI,0.1318338518397648,0.01122705850910577,0.012252144541715658,0.016418348847945786,0.7687496187095066,1.0,0.8681661481602352
 ,0.14710342735820442,0.031824031824031825,0.15737051792828685,0.10778736759513535,0.796759213516451,1.0,0.8528965726417956
TN,0.2082841656453908,0.17738048860955147,0.15347924600002974,0.002744114147989285,0.8345439649154883,1.0,0.7917158343546092
OH,0.2520469730259191,0.22674855267230204,0.20707449570626715,0.16694180103399944,0.806316511068507,1.0,0.7479530269740808
MN,0.42619032266480156,0.4441262916830581,0.43071601241562296,0.44266156108964577,0.8364108251164654,1.0,0.5738096773351984
SD,0.6867035742035742,0.7036096160624892,0.6039146223990017,0.4920481291861431,0.7522065008545609,1.0,0.3132964257964258
ND,0.848335175462835,0.7860109146308562,0.7653511991750751,0.30125727410208103,0.8763441752540246,1.0,0.151664824537165
